Date,Open,High,Low,Close,Adj Close,Volume
2012-03-20,195.736145,195.984711,194.741867,195.267685,133.180969,3865075
2012-03-21,195.334610,196.720840,195.315491,195.688339,133.467850,3483075
2012-03-22,195.028687,196.931168,194.990433,196.453156,133.989548,3459959
2012-03-23,196.835571,196.902481,195.564056,196.443588,133.982971,3175865
2012-03-26,197.370941,198.776291,197.246658,198.632889,135.476181,3575437
2012-03-27,199.292542,199.483749,197.896744,198.068832,135.091461,2828907
2012-03-28,198.317398,199.512421,197.198853,198.173996,135.163162,3415922
2012-03-29,197.026764,199.330780,196.959854,199.110901,135.802200,3560270
2012-03-30,199.560226,199.923523,198.862335,199.474182,136.050003,3363099
2012-04-02,199.770554,200.468445,198.938812,200.258133,136.584671,3543743
2012-04-03,200.105164,201.424469,199.369019,200.286804,136.604218,4279709
2012-04-04,197.151047,197.877625,196.166351,196.988525,134.354645,4606584
2012-04-05,196.128113,196.634796,195.468445,196.434036,133.976440,3984214
2012-04-09,195.411087,197.103256,194.426392,195.927338,133.630875,3479937
2012-04-10,195.927338,196.692154,193.279160,193.432129,131.929031,4323013
2012-04-11,195.019119,195.334610,193.556412,193.671127,132.092072,3521045
2012-04-12,193.881454,196.520081,193.728485,196.290634,133.878662,3064362
2012-04-13,195.334610,195.650101,193.881454,193.881454,132.235489,3940282
2012-04-16,195.736145,196.912048,193.804977,193.804977,132.183334,4002624
2012-04-17,195.573608,198.508606,195.172089,198.326965,135.267532,6344513
2012-04-18,193.527725,195.095596,191.204590,191.328873,130.494553,10620561
2012-04-19,191.233276,192.409180,188.833649,190.736145,130.090286,6027993
2012-04-20,191.042068,191.319305,190.334610,190.822174,130.148895,4977077
2012-04-23,189.187378,190.344162,188.135757,189.885284,129.509918,3785265
2012-04-24,190.305923,193.575531,190.124283,191.204590,130.409760,5885110
2012-04-25,193.135757,194.732315,192.925430,194.617584,132.737549,4187556
2012-04-26,194.455063,197.141495,194.455063,196.539200,134.048203,3454624
2012-04-27,197.390060,199.015289,196.854691,197.715103,134.850220,3657757
2012-04-30,197.619507,198.814529,197.246658,197.973236,135.026260,2900767
2012-05-01,198.068832,199.741867,197.619507,198.852768,135.626144,2840831
2012-05-02,197.868073,199.110901,197.810699,198.910141,135.665253,2468874
2012-05-03,199.110901,199.732315,197.466537,198.126190,135.130585,2956624
2012-05-04,197.390060,198.001907,195.411087,195.975143,133.663498,4208686
2012-05-07,194.990433,195.764816,193.977051,194.789673,132.854980,3528576
2012-05-08,193.537292,194.130020,190.936905,192.619507,131.950577,4060049
2012-05-09,191.195023,194.072662,190.305923,192.380493,131.786835,3914655
2012-05-10,192.160614,194.311661,191.223709,191.778198,131.374237,4006703
2012-05-11,191.166351,193.231354,191.156784,192.323135,131.747559,2501509
2012-05-14,191.128113,191.883362,189.827911,190.669220,130.614578,3168543
2012-05-15,190.669220,192.609940,190.019119,190.286804,130.352600,3124820
2012-05-16,190.650101,192.495224,189.464630,190.946457,130.804489,5231046
2012-05-17,190.889099,191.959854,188.948380,189.187378,129.599457,5885110
2012-05-18,190.038239,190.038239,186.577438,187.265778,128.283096,6001007
2012-05-21,187.361374,189.225616,186.070740,189.063095,129.514359,4007958
2012-05-22,189.330780,189.541107,187.437866,188.164429,128.898727,3731187
2012-05-23,186.931168,187.848953,184.703629,187.495224,128.440308,4288600
2012-05-24,187.370941,187.648178,185.468445,187.466537,128.420654,3733488
2012-05-25,186.529633,187.380493,185.468445,185.755264,127.248375,3035387
2012-05-29,186.634796,189.369019,186.634796,187.820267,128.662949,3784951
2012-05-30,186.233276,186.873810,185.248566,185.975143,127.398926,3768215
2012-05-31,185.564056,186.357559,183.556412,184.416824,126.331482,9714725
2012-06-01,181.759079,183.288712,180.305923,180.764816,123.829720,5445894
2012-06-04,180.057358,181.051620,178.776291,180.248566,123.476105,4837227
2012-06-05,179.655838,181.500961,179.311661,180.879547,123.908340,3720099
